購買ID,会員ID,購入年月日,購入品目,購入数量,購入金額
P0000049,M000007,2025-09-28,鮮魚,1,1234
P0000050,M000007,2025-12-04,鮮魚,5,8290
P0000051,M000007,2026-05-09,果物,1,943
P0000052,M000007,2025-11-15,惣菜,1,608
P0000053,M000008,2026-01-26,惣菜,4,1752
P0000054,M000008,2026-04-25,惣菜,5,3770
P0000055,M000008,2026-06-09,菓子,1,527
P0000056,M000008,2026-04-13,惣菜,4,2904
P0000057,M000008,2026-03-08,野菜,5,3110
P0000058,M000008,2025-07-06,菓子,3,2451
P0000059,M000008,2025-08-16,飲料,3,1596
P0000060,M000008,2025-10-03,有機食品セット,5,14090
P0000061,M000008,2025-08-13,鮮魚,5,9675
P0000062,M000009,2025-08-16,菓子,1,641
P0000063,M000009,2026-05-26,野菜,5,2450
P0000064,M000009,2025-10-05,野菜,1,613
P0000065,M000010,2026-02-20,精肉,2,3240
P0000066,M000010,2026-03-02,精肉,5,7270
P0000067,M000010,2026-04-21,惣菜,2,1430
P0000068,M000011,2025-12-18,野菜,5,2570
P0000069,M000011,2026-05-29,鮮魚,3,4848
P0000070,M000011,2026-03-03,調味料,5,2900
P0000071,M000011,2026-04-18,飲料,3,1050
P0000072,M000011,2025-12-31,野菜,3,1494
P0000073,M000011,2026-01-09,精肉,5,6420
P0000074,M000011,2026-02-13,飲料,4,1984
P0000075,M000012,2025-07-05,菓子,1,395
P0000076,M000012,2025-12-16,果物,3,2541
P0000077,M000012,2025-12-02,飲料,5,1335
P0000078,M000012,2026-06-18,野菜,3,1806
P0000079,M000012,2025-12-16,飲料,1,320
P0000080,M000013,2026-03-01,精肉,1,773
P0000081,M000013,2026-05-20,果物,5,4295
P0000082,M000013,2025-12-09,精肉,5,6330
P0000083,M000013,2025-12-08,飲料,5,3115
P0000084,M000013,2026-03-30,菓子,1,635
P0000085,M000013,2026-01-26,調味料,4,2200
P0000086,M000013,2026-01-26,果物,2,1748
P0000087,M000013,2025-09-03,菓子,3,1488
P0000088,M000014,2025-08-28,精肉,4,6036
P0000089,M000014,2025-09-24,惣菜,2,820
P0000090,M000014,2025-12-04,果物,3,2916
P0000091,M000014,2025-11-10,鮮魚,4,5540
P0000092,M000014,2026-01-30,調味料,5,2790
P0000093,M000014,2025-08-21,鮮魚,4,6376
P0000094,M000014,2025-12-20,有機食品セット,1,3414
P0000095,M000014,2025-07-28,有機食品セット,3,14529
P0000096,M000015,2026-06-30,調味料,4,1916
P0000097,M000015,2026-02-25,野菜,3,1731
P0000098,M000015,2025-07-18,精肉,2,2504
P0000099,M000015,2025-09-14,菓子,2,818
P0000100,M000016,2025-11-20,調味料,4,1548
P0000101,M000016,2026-04-09,飲料,2,634
P0000102,M000016,2026-03-21,有機食品セット,3,10482
P0000103,M000016,2025-12-05,精肉,4,5160
P0000104,M000017,2026-01-18,飲料,3,1299
P0000105,M000017,2025-10-06,菓子,5,3260
P0000106,M000017,2025-08-27,鮮魚,4,6888
P0000107,M000017,2025-09-11,精肉,4,6696
P0000108,M000018,2025-09-14,米・穀物,1,2713
P0000109,M000018,2026-03-07,米・穀物,4,8816
P0000110,M000018,2026-01-13,精肉,2,1984
P0000111,M000018,2026-01-30,鮮魚,4,5212
P0000112,M000018,2025-10-08,野菜,1,277
P0000113,M000019,2025-10-27,菓子,1,809
P0000114,M000019,2026-02-21,鮮魚,1,1987
P0000115,M000019,2025-12-19,菓子,1,550
P0000116,M000019,2026-02-28,有機食品セット,5,13545
P0000117,M000020,2026-01-10,精肉,4,4584
P0000118,M000020,2025-09-13,有機食品セット,5,17840
P0000119,M000020,2025-08-20,精肉,2,2624
P0000120,M000020,2026-03-25,野菜,3,1413
P0000121,M000020,2025-12-01,飲料,5,2245
P0000122,M000020,2025-11-12,精肉,2,2684
P0000123,M000020,2025-12-30,惣菜,3,1899
P0000124,M000020,2025-07-27,有機食品セット,3,9030
P0000125,M000020,2026-02-10,菓子,1,801
P0000126,M000021,2026-04-13,惣菜,1,756
P0000127,M000021,2026-01-16,菓子,3,1482
P0000128,M000021,2025-07-24,惣菜,1,714
P0000129,M000021,2025-11-17,野菜,3,1563
P0000130,M000021,2025-10-20,果物,5,4700
P0000131,M000021,2025-07-04,鮮魚,4,5040
P0000132,M000021,2026-02-14,精肉,1,1657
P0000133,M000021,2026-06-12,飲料,4,1728
P0000134,M000021,2026-06-18,菓子,5,2475
P0000135,M000021,2025-12-10,精肉,4,3792
P0000136,M000022,2026-01-27,野菜,4,2264
P0000137,M000022,2026-03-01,菓子,1,424
P0000138,M000022,2025-12-13,有機食品セット,1,3520
P0000139,M000022,2025-09-18,果物,5,3340
P0000140,M000022,2026-06-14,有機食品セット,2,5062
P0000141,M000022,2025-10-31,有機食品セット,5,18170
P0000142,M000022,2025-10-08,野菜,3,1827
P0000143,M000022,2026-06-01,鮮魚,5,8940
P0000144,M000022,2025-12-17,有機食品セット,2,8274
P0000145,M000023,2025-09-06,菓子,1,593
P0000146,M000023,2025-07-16,惣菜,5,3995
P0000147,M000023,2025-10-09,精肉,2,2572
P0000148,M000023,2025-10-22,米・穀物,5,15685
P0000149,M000023,2025-07-18,有機食品セット,5,18015
P0000150,M000024,2026-02-13,鮮魚,5,9135
P0000151,M000024,2025-10-21,菓子,3,1647
P0000152,M000024,2026-01-09,調味料,4,2356
P0000153,M000024,2025-10-31,野菜,5,3145
P0000154,M000024,2026-04-24,惣菜,3,1878
P0000155,M000025,2026-05-27,果物,2,2520
P0000156,M000025,2026-05-24,果物,2,1718
P0000157,M000025,2026-06-18,野菜,2,688
P0000158,M000025,2026-06-16,調味料,5,2195
P0000159,M000026,2026-06-16,飲料,4,1240
P0000160,M000026,2026-03-29,鮮魚,4,5424
P0000161,M000026,2025-10-28,鮮魚,1,762
P0000162,M000026,2025-07-07,菓子,3,1542
P0000163,M000026,2026-05-09,有機食品セット,1,4715
P0000164,M000026,2025-12-26,有機食品セット,4,20560
P0000165,M000026,2025-08-04,野菜,4,1500
P0000166,M000026,2026-04-04,調味料,3,1086
P0000167,M000026,2025-09-26,野菜,1,353
P0000168,M000026,2025-07-08,飲料,3,1209
P0000169,M000027,2026-03-25,鮮魚,4,5348
P0000170,M000027,2026-02-14,野菜,3,1788
P0000171,M000027,2026-05-20,野菜,3,1473
P0000172,M000027,2025-09-16,精肉,2,2448
P0000173,M000028,2026-02-16,惣菜,3,1182
P0000174,M000028,2026-02-27,果物,5,3820
P0000175,M000028,2026-01-29,鮮魚,2,3532
P0000176,M000028,2026-06-04,飲料,3,1737
P0000177,M000028,2025-11-11,果物,1,1011
P0000178,M000029,2025-10-19,飲料,1,386
P0000179,M000029,2026-04-04,米・穀物,1,2375
P0000180,M000029,2026-03-11,果物,4,3296
P0000181,M000029,2026-01-04,菓子,3,1626
P0000182,M000029,2025-10-26,有機食品セット,1,3656
P0000183,M000030,2026-03-07,鮮魚,2,2794
P0000184,M000030,2025-09-11,米・穀物,1,2952
P0000185,M000030,2025-07-16,有機食品セット,5,19715
P0000186,M000030,2025-11-06,精肉,4,5340
P0000187,M000030,2026-02-19,菓子,2,1078
P0000188,M000031,2026-01-21,飲料,5,1455
P0000189,M000031,2025-08-28,果物,2,1652
P0000190,M000031,2026-06-11,飲料,5,1665
P0000191,M000031,2025-07-02,菓子,3,1056
P0000192,M000031,2026-04-18,鮮魚,2,2830
P0000193,M000031,2026-06-16,菓子,2,872
P0000194,M000031,2026-01-14,菓子,4,2048
P0000195,M000032,2026-05-11,米・穀物,5,13405
P0000196,M000032,2025-07-01,果物,1,773
P0000197,M000032,2025-07-05,米・穀物,1,3336
P0000198,M000032,2026-06-08,調味料,1,605
P0000199,M000033,2026-01-05,精肉,4,7824
P0000200,M000033,2025-09-12,飲料,4,2224
P0000201,M000033,2026-03-11,惣菜,2,1578
P0000202,M000034,2026-01-12,菓子,5,2470
P0000203,M000034,2026-04-29,果物,4,3856
P0000204,M000034,2025-08-08,野菜,5,2745
P0000205,M000035,2025-10-18,有機食品セット,2,6470
P0000206,M000035,2025-12-09,精肉,1,1329
P0000207,M000035,2026-03-16,調味料,2,1102
P0000208,M000035,2026-02-10,果物,3,2736
P0000209,M000035,2026-04-19,果物,1,855
P0000210,M000035,2026-03-26,飲料,2,1282
P0000211,M000035,2025-07-16,飲料,1,515
P0000212,M000036,2025-07-28,野菜,3,1263
P0000213,M000036,2025-09-14,米・穀物,3,8502
P0000214,M000036,2025-07-31,調味料,1,686
P0000215,M000036,2025-10-04,飲料,4,2608
P0000216,M000036,2026-06-22,菓子,1,703
P0000217,M000036,2026-06-14,鮮魚,5,8895
P0000218,M000036,2025-10-07,惣菜,3,1953
P0000219,M000037,2025-10-08,果物,2,1568
P0000220,M000037,2025-09-08,調味料,4,1756
P0000221,M000037,2026-04-11,有機食品セット,2,8386
P0000222,M000037,2025-07-19,飲料,2,870
P0000223,M000038,2026-02-23,米・穀物,1,2559
P0000224,M000038,2026-03-21,有機食品セット,2,6684
P0000225,M000038,2026-01-12,鮮魚,1,1551
P0000226,M000038,2025-09-13,米・穀物,3,7080
P0000227,M000038,2026-03-30,果物,5,3595
P0000228,M000038,2026-06-12,調味料,3,1386
P0000229,M000038,2026-01-13,調味料,4,2160
P0000230,M000038,2025-07-02,調味料,3,1737
P0000231,M000038,2026-02-04,鮮魚,3,4131
P0000232,M000039,2026-05-12,有機食品セット,1,4179
P0000233,M000039,2026-02-12,鮮魚,2,3544
P0000234,M000039,2026-05-28,野菜,4,2704
P0000235,M000039,2026-05-06,精肉,1,1377
P0000236,M000039,2025-12-21,飲料,1,452
P0000237,M000040,2026-06-12,米・穀物,1,2642
P0000238,M000040,2025-07-28,野菜,3,1497
P0000239,M000040,2026-03-21,鮮魚,3,3789
P0000240,M000040,2026-06-09,果物,2,1472
P0000241,M000040,2025-08-09,野菜,1,599
P0000242,M000040,2025-08-11,惣菜,5,3750
P0000243,M000040,2026-02-06,果物,2,1792
P0000244,M000041,2025-08-05,鮮魚,2,3080
P0000245,M000041,2026-04-26,有機食品セット,2,10374
P0000246,M000041,2026-06-02,飲料,4,1680
P0000247,M000041,2025-12-26,野菜,2,1162
P0000248,M000042,2025-10-05,惣菜,3,1998
P0000249,M000042,2026-04-05,野菜,1,641
P0000250,M000042,2026-02-28,惣菜,5,3840
P0000251,M000042,2025-07-06,有機食品セット,1,3840
P0000252,M000042,2025-09-24,米・穀物,2,5356
P0000253,M000043,2026-04-27,有機食品セット,3,10797
P0000254,M000043,2026-02-05,米・穀物,2,5616
P0000255,M000043,2026-01-31,飲料,4,1440
P0000256,M000044,2026-01-31,果物,5,4670
P0000257,M000044,2026-04-03,惣菜,4,2564
P0000258,M000044,2025-07-20,菓子,3,1284
P0000259,M000044,2025-09-09,精肉,3,4155
P0000260,M000044,2025-07-13,米・穀物,2,5666
P0000261,M000045,2025-10-17,菓子,3,1353
P0000262,M000045,2025-08-13,菓子,5,2240
P0000263,M000045,2026-01-18,野菜,5,2550
P0000264,M000045,2025-12-21,有機食品セット,4,10492
P0000265,M000045,2025-08-14,果物,3,3165
P0000266,M000045,2025-09-29,精肉,4,6928
P0000267,M000045,2026-04-29,飲料,3,1407
P0000268,M000045,2026-04-23,有機食品セット,3,16143
P0000269,M000046,2025-07-26,菓子,2,1500
P0000270,M000046,2026-01-19,米・穀物,1,3214
P0000271,M000046,2025-12-15,菓子,4,2344
P0000272,M000046,2025-12-20,有機食品セット,2,8898
P0000273,M000046,2026-06-02,有機食品セット,1,3980
P0000274,M000046,2025-08-03,果物,5,3045
P0000275,M000047,2026-01-31,飲料,1,314
P0000276,M000047,2026-01-05,飲料,4,1376
P0000277,M000047,2026-02-24,調味料,1,483
P0000278,M000047,2026-01-08,飲料,3,1260
P0000279,M000047,2026-03-07,調味料,2,884
P0000280,M000048,2025-12-05,鮮魚,2,4354
P0000281,M000048,2025-12-26,菓子,1,317
P0000282,M000048,2026-05-31,惣菜,3,2007
P0000283,M000048,2025-10-29,精肉,1,967
P0000284,M000048,2025-11-14,菓子,2,1026
P0000285,M000049,2025-08-13,鮮魚,5,10950
P0000286,M000049,2025-11-04,有機食品セット,4,13384
P0000287,M000049,2026-04-12,調味料,2,806
P0000288,M000049,2025-11-17,果物,2,1322
P0000289,M000049,2025-08-17,鮮魚,1,1135
P0000290,M000049,2026-01-25,果物,5,4345
P0000291,M000049,2026-01-03,野菜,5,2055
P0000292,M000049,2025-12-21,精肉,1,740
P0000293,M000049,2026-06-30,菓子,1,489
P0000294,M000050,2026-05-26,鮮魚,3,6567
P0000295,M000050,2025-11-27,精肉,1,1160
P0000296,M000050,2025-11-13,米・穀物,3,6531
P0000297,M000050,2025-07-20,鮮魚,5,7825
P0000298,M000050,2026-06-04,鮮魚,5,11100
P0000299,M000050,2026-03-29,飲料,3,1389
P0000300,M000050,2025-07-10,菓子,3,1614
P0000301,M000050,2026-06-05,精肉,5,5310
P0000302,M000051,2025-12-29,飲料,3,1227
P0000303,M000051,2025-09-23,精肉,3,3360
P0000304,M000051,2025-12-18,菓子,2,1242
P0000305,M000051,2025-09-24,精肉,3,3849
P0000306,M000051,2025-10-26,野菜,5,3375
P0000307,M000051,2025-08-31,精肉,3,4446
P0000308,M000051,2025-08-06,米・穀物,5,18670
P0000309,M000052,2025-08-01,菓子,2,1004
P0000310,M000052,2026-04-13,調味料,3,1464
P0000311,M000052,2025-12-26,果物,1,745
P0000312,M000052,2025-09-06,飲料,4,1540
P0000313,M000052,2025-08-23,菓子,4,2228
P0000314,M000053,2025-11-04,惣菜,5,2890
P0000315,M000053,2026-06-04,菓子,3,1704
P0000316,M000053,2025-07-30,鮮魚,5,5885
P0000317,M000053,2025-07-30,有機食品セット,3,7512
P0000318,M000053,2025-07-15,飲料,3,1806
P0000319,M000053,2026-06-30,米・穀物,1,2800
P0000320,M000054,2025-08-01,有機食品セット,1,4982
P0000321,M000054,2026-05-26,調味料,4,1764
P0000322,M000054,2026-06-27,精肉,4,6696
P0000323,M000054,2025-09-11,菓子,5,2885
P0000324,M000054,2026-01-27,果物,5,3970
P0000325,M000054,2025-10-29,飲料,3,1335
P0000326,M000054,2026-06-25,惣菜,1,317
P0000327,M000054,2026-01-02,野菜,2,1152
P0000328,M000055,2025-10-31,精肉,2,3064
P0000329,M000055,2026-02-08,米・穀物,4,10728
P0000330,M000055,2026-01-23,鮮魚,4,6548
P0000331,M000055,2026-06-09,米・穀物,3,6114
P0000332,M000055,2026-03-13,調味料,1,434
P0000333,M000055,2026-01-29,米・穀物,1,2074
P0000334,M000055,2026-01-30,惣菜,3,2220
P0000335,M000055,2025-11-10,飲料,5,855
P0000336,M000055,2026-06-20,果物,3,3378
P0000337,M000056,2025-10-15,惣菜,2,1712
P0000338,M000056,2026-04-09,有機食品セット,5,19225
P0000339,M000056,2026-02-19,野菜,5,2795
P0000340,M000056,2026-04-13,惣菜,4,2392
P0000341,M000056,2026-03-28,惣菜,2,1088
P0000342,M000056,2026-02-28,鮮魚,1,1109
P0000343,M000057,2025-12-21,菓子,5,3000
P0000344,M000057,2026-06-25,菓子,2,876
P0000345,M000057,2025-09-15,果物,1,991
P0000346,M000057,2026-04-28,野菜,1,459
P0000347,M000057,2026-04-03,果物,3,2244
P0000348,M000057,2025-08-13,惣菜,5,3910
P0000349,M000057,2025-12-05,米・穀物,3,7236
P0000350,M000057,2026-03-20,野菜,1,481
P0000351,M000057,2026-02-01,調味料,1,321
P0000352,M000057,2026-02-02,米・穀物,3,7566
P0000353,M000057,2026-03-13,調味料,5,1985
P0000354,M000058,2025-09-26,野菜,1,636
P0000355,M000058,2026-02-04,飲料,5,2365
P0000356,M000058,2025-10-04,惣菜,2,1746
P0000357,M000058,2025-11-19,米・穀物,4,12656
P0000358,M000058,2025-09-18,菓子,1,657
P0000359,M000058,2025-11-19,精肉,2,3040
P0000360,M000059,2025-11-01,米・穀物,1,2838
P0000361,M000059,2026-05-27,果物,4,2652
P0000362,M000059,2025-09-15,調味料,1,433
P0000363,M000059,2026-05-28,惣菜,2,1610
P0000364,M000060,2025-10-06,果物,3,2421
P0000365,M000060,2026-06-09,飲料,3,1251
P0000366,M000060,2026-01-29,菓子,4,1980
P0000367,M000060,2026-05-19,菓子,4,2484
P0000368,M000060,2026-03-26,鮮魚,4,4100
P0000369,M000060,2025-09-28,惣菜,1,396
P0000370,M000060,2025-08-04,惣菜,2,1428
P0000371,M000060,2025-12-11,惣菜,2,1260
P0000372,M000060,2025-10-31,鮮魚,5,5760
P0000373,M000060,2026-03-03,米・穀物,2,3904
P0000374,M000061,2025-08-21,調味料,1,536
P0000375,M000061,2026-04-17,菓子,3,1629
P0000376,M000061,2025-12-27,鮮魚,3,6078
P0000377,M000061,2025-10-21,鮮魚,2,2652
P0000378,M000061,2025-10-07,果物,1,913
P0000379,M000062,2025-11-09,鮮魚,1,1860
P0000380,M000062,2026-05-13,菓子,4,2472
P0000381,M000062,2025-09-13,果物,2,2180
P0000382,M000062,2025-07-16,飲料,3,882
P0000383,M000062,2026-05-11,鮮魚,1,1806
P0000384,M000062,2025-07-21,飲料,1,519
P0000385,M000062,2025-11-01,野菜,1,624
P0000386,M000062,2025-07-06,菓子,1,617
P0000387,M000063,2026-05-27,調味料,4,1532
P0000388,M000063,2026-02-25,惣菜,1,717
P0000389,M000063,2025-09-08,野菜,2,1314
P0000390,M000063,2026-02-24,野菜,4,3056
P0000391,M000064,2026-04-20,飲料,2,862
P0000392,M000064,2026-03-11,鮮魚,5,8580
P0000393,M000064,2026-04-28,飲料,3,1239
P0000394,M000064,2025-11-26,調味料,5,1475
P0000395,M000064,2026-06-03,精肉,4,4220
P0000396,M000065,2025-11-11,菓子,4,2204
P0000397,M000065,2026-06-19,米・穀物,1,3035
P0000398,M000065,2026-06-13,惣菜,2,1152
P0000399,M000065,2026-04-09,惣菜,4,2500
P0000400,M000065,2025-11-11,惣菜,1,603
P0000401,M000065,2025-12-04,野菜,1,515
P0000402,M000065,2025-09-28,飲料,4,1748
P0000403,M000065,2026-06-21,飲料,5,2240
P0000404,M000066,2026-03-19,菓子,2,1008
P0000405,M000066,2026-06-26,菓子,2,1636
P0000406,M000066,2026-03-06,鮮魚,3,7740
P0000407,M000066,2025-07-08,野菜,3,1167
P0000408,M000067,2026-06-23,精肉,5,7060
P0000409,M000067,2026-05-04,米・穀物,2,6874
P0000410,M000067,2025-09-15,有機食品セット,4,15524
P0000411,M000067,2025-08-05,野菜,1,444
P0000412,M000068,2026-04-08,野菜,1,626
P0000413,M000068,2026-04-11,精肉,5,6355
P0000414,M000068,2025-11-09,惣菜,4,2652
P0000415,M000068,2025-12-03,飲料,2,872
P0000416,M000068,2025-09-09,飲料,3,1371
P0000417,M000068,2026-05-18,菓子,2,1114
P0000418,M000068,2025-12-04,果物,5,3840
P0000419,M000069,2026-02-23,惣菜,3,2022
P0000420,M000069,2026-03-23,米・穀物,5,15400
P0000421,M000069,2026-04-29,果物,4,3744
P0000422,M000069,2026-01-26,果物,5,2730
P0000423,M000070,2026-01-29,惣菜,3,1680
P0000424,M000070,2026-01-10,惣菜,1,657
P0000425,M000070,2025-12-17,果物,3,3297
P0000426,M000070,2026-06-19,惣菜,4,2692
P0000427,M000070,2026-04-20,調味料,1,274
P0000428,M000070,2026-01-15,菓子,2,604
P0000429,M000071,2025-10-19,飲料,5,1905
P0000430,M000071,2026-04-07,精肉,1,840
P0000431,M000071,2026-05-04,飲料,1,539
P0000432,M000071,2026-02-20,鮮魚,2,3902
P0000433,M000071,2025-10-17,野菜,4,2388
P0000434,M000072,2025-12-27,果物,3,2589
P0000435,M000072,2026-06-24,菓子,2,1380
P0000436,M000072,2025-10-18,惣菜,3,2463
P0000437,M000072,2026-06-16,調味料,1,523
P0000438,M000073,2025-12-12,果物,2,1670
P0000439,M000073,2025-09-08,鮮魚,3,4443
P0000440,M000073,2025-07-24,果物,3,2271
P0000441,M000073,2026-01-21,飲料,1,508
P0000442,M000074,2026-04-20,調味料,3,1290
P0000443,M000074,2025-07-04,有機食品セット,1,2409
P0000444,M000074,2025-10-03,米・穀物,2,6374
P0000445,M000074,2025-08-26,鮮魚,2,3622
P0000446,M000074,2026-04-20,鮮魚,3,5748
P0000447,M000074,2026-02-22,飲料,3,1818
P0000448,M000074,2025-08-21,鮮魚,5,10615
P0000449,M000075,2026-02-24,菓子,4,2996
P0000450,M000075,2025-09-11,鮮魚,3,5598
P0000451,M000075,2025-07-07,野菜,4,1904
P0000452,M000075,2026-01-16,鮮魚,5,9920
P0000453,M000075,2025-12-17,菓子,4,2580
P0000454,M000076,2025-11-21,米・穀物,2,5186
P0000455,M000076,2025-09-22,惣菜,3,1749
P0000456,M000076,2026-01-26,野菜,5,2175
P0000457,M000076,2025-10-07,野菜,3,2109
P0000458,M000076,2025-08-13,有機食品セット,4,10808
P0000459,M000077,2026-05-02,惣菜,1,746
P0000460,M000077,2026-06-20,米・穀物,3,8781
P0000461,M000077,2026-03-01,野菜,5,3230
P0000462,M000077,2025-07-15,精肉,2,2858
P0000463,M000077,2026-03-08,飲料,4,1316
P0000464,M000077,2025-12-04,鮮魚,1,957
P0000465,M000077,2025-12-26,調味料,2,1194
P0000466,M000077,2025-09-30,米・穀物,5,14155
P0000467,M000078,2026-01-14,飲料,1,413
P0000468,M000078,2025-09-25,米・穀物,4,10044
P0000469,M000078,2025-11-03,調味料,2,1174
P0000470,M000078,2026-01-12,野菜,3,1362
P0000471,M000078,2025-12-08,米・穀物,2,6836
P0000472,M000079,2025-10-13,果物,1,834
P0000473,M000079,2025-07-17,果物,3,2418
P0000474,M000079,2025-08-13,菓子,5,4060
P0000475,M000079,2026-01-27,飲料,5,2190
P0000476,M000079,2026-02-25,有機食品セット,5,16505
P0000477,M000079,2025-08-18,鮮魚,5,7980
P0000478,M000080,2026-06-10,飲料,1,424
P0000479,M000080,2025-07-23,果物,1,685
P0000480,M000080,2025-08-23,飲料,3,1545
P0000481,M000080,2025-12-30,果物,2,1468
P0000482,M000080,2026-04-08,精肉,5,5730
P0000483,M000081,2026-01-30,精肉,2,3046
P0000484,M000081,2025-12-31,米・穀物,4,10620
P0000485,M000081,2026-03-02,惣菜,2,1694
P0000486,M000081,2026-03-11,飲料,5,2510
P0000487,M000081,2025-08-24,惣菜,5,3030
P0000488,M000081,2026-02-26,鮮魚,3,6045
P0000489,M000082,2026-03-16,果物,5,3640
P0000490,M000082,2025-08-01,調味料,4,1472
P0000491,M000082,2025-07-31,調味料,5,2375
P0000492,M000082,2025-08-23,惣菜,3,1983
P0000493,M000082,2025-10-06,鮮魚,2,4888
P0000494,M000083,2025-08-14,惣菜,1,366
P0000495,M000083,2026-06-25,惣菜,3,2268
P0000496,M000083,2026-02-08,野菜,5,3605
P0000497,M000083,2025-09-12,野菜,3,1266
P0000498,M000083,2025-09-02,野菜,2,950
P0000499,M000083,2026-03-25,菓子,2,698
P0000500,M000084,2025-11-16,米・穀物,2,5758
P0000501,M000084,2025-09-27,米・穀物,4,3620
P0000502,M000084,2025-08-02,飲料,3,1164
P0000503,M000084,2026-04-30,調味料,4,1600
P0000504,M000084,2025-09-07,有機食品セット,1,4577
P0000505,M000084,2026-04-27,飲料,3,1176
P0000506,M000085,2025-12-24,惣菜,2,784
P0000507,M000085,2026-05-01,野菜,4,2412
P0000508,M000085,2025-08-05,果物,1,1283
P0000509,M000085,2025-08-06,惣菜,5,3845
P0000510,M000085,2025-12-19,調味料,5,3500
P0000511,M000085,2026-04-03,野菜,2,1006
P0000512,M000085,2025-12-08,有機食品セット,1,2955
P0000513,M000086,2025-08-25,飲料,2,1298
P0000514,M000086,2025-09-10,調味料,4,1236
P0000515,M000086,2026-06-17,菓子,3,2253
P0000516,M000086,2026-05-10,野菜,1,597
P0000517,M000087,2025-07-02,有機食品セット,1,4234
P0000518,M000087,2025-10-09,野菜,1,461
P0000519,M000087,2025-10-22,菓子,5,2700
P0000520,M000087,2026-03-06,菓子,2,1256
P0000521,M000087,2026-03-26,惣菜,5,3630
P0000522,M000088,2025-12-03,米・穀物,3,7200
P0000523,M000088,2025-10-18,米・穀物,4,8856
P0000524,M000088,2025-09-22,惣菜,4,3048
P0000525,M000088,2026-02-21,果物,1,1079
P0000526,M000088,2026-04-04,野菜,3,1878
P0000527,M000088,2026-01-06,精肉,1,1338
P0000528,M000088,2025-08-14,米・穀物,1,2106
P0000529,M000089,2026-06-18,野菜,3,1650
P0000530,M000089,2025-11-26,調味料,3,1542
P0000531,M000089,2025-12-17,調味料,2,742
P0000532,M000089,2025-12-28,精肉,4,5840
P0000533,M000089,2026-05-25,飲料,1,606
P0000534,M000089,2025-10-20,果物,1,880
P0000535,M000089,2026-06-08,野菜,1,625
P0000536,M000089,2026-01-23,菓子,4,2244
P0000537,M000089,2025-11-02,精肉,1,1264
P0000538,M000090,2025-09-22,精肉,2,3462
P0000539,M000090,2026-04-22,菓子,3,1962
P0000540,M000090,2026-01-24,惣菜,2,1274
P0000541,M000090,2026-02-13,調味料,1,549
P0000542,M000090,2026-02-21,野菜,3,1722
P0000543,M000090,2026-01-17,惣菜,2,1136
P0000544,M000090,2026-03-04,有機食品セット,2,10424
P0000545,M000091,2026-04-27,果物,2,1970
P0000546,M000091,2026-01-08,菓子,2,1118
P0000547,M000091,2025-12-13,菓子,5,2505
P0000548,M000091,2025-09-09,精肉,2,2092
