明細ID,取引ID,商品ID,商品名,数量,金額
D00000131,T0000045,G09,こしひかり5kg,1,2636
D00000132,T0000046,G13,コーヒー豆,3,2302
D00000133,T0000046,G01,トマト,1,256
D00000134,T0000047,G04,バナナ,1,203
D00000135,T0000047,G02,レタス,3,534
D00000136,T0000047,G15,チョコレート,3,691
D00000137,T0000047,G10,食パン,3,722
D00000138,T0000047,G10,食パン,1,250
D00000139,T0000048,G01,トマト,1,274
D00000140,T0000049,G06,鶏むね肉,3,1479
D00000141,T0000049,G08,まぐろ刺身,3,2743
D00000142,T0000050,G05,牛肉（国産）,1,903
D00000143,T0000050,G05,牛肉（国産）,2,2059
D00000144,T0000051,G12,緑茶ペットボトル,2,295
D00000145,T0000051,G15,チョコレート,1,206
D00000146,T0000051,G04,バナナ,1,206
D00000147,T0000051,G12,緑茶ペットボトル,2,253
D00000148,T0000051,G04,バナナ,2,406
D00000149,T0000052,G04,バナナ,1,200
D00000150,T0000052,G08,まぐろ刺身,3,2342
D00000151,T0000052,G03,りんご,1,304
D00000152,T0000052,G11,からあげ弁当,3,1824
D00000153,T0000053,G07,さば,2,822
D00000154,T0000053,G03,りんご,3,890
D00000155,T0000053,G03,りんご,2,573
D00000156,T0000053,G12,緑茶ペットボトル,3,434
D00000157,T0000053,G05,牛肉（国産）,1,858
D00000158,T0000054,G06,鶏むね肉,3,1519
D00000159,T0000054,G14,ポテトチップス,3,545
D00000160,T0000054,G08,まぐろ刺身,2,1569
D00000161,T0000055,G03,りんご,1,335
D00000162,T0000055,G14,ポテトチップス,3,501
D00000163,T0000056,G04,バナナ,1,205
D00000164,T0000056,G04,バナナ,3,638
D00000165,T0000056,G12,緑茶ペットボトル,3,423
D00000166,T0000056,G16,しょうゆ,1,347
D00000167,T0000056,G12,緑茶ペットボトル,3,407
D00000168,T0000057,G10,食パン,2,479
D00000169,T0000057,G01,トマト,3,721
D00000170,T0000058,G15,チョコレート,2,425
D00000171,T0000058,G15,チョコレート,3,719
D00000172,T0000059,G04,バナナ,1,229
D00000173,T0000059,G07,さば,2,832
D00000174,T0000059,G08,まぐろ刺身,3,2657
D00000175,T0000059,G12,緑茶ペットボトル,2,263
D00000176,T0000059,G15,チョコレート,2,420
D00000177,T0000060,G03,りんご,2,601
D00000178,T0000060,G01,トマト,1,267
D00000179,T0000060,G08,まぐろ刺身,1,864
D00000180,T0000060,G06,鶏むね肉,3,1301
D00000181,T0000060,G01,トマト,1,238
D00000182,T0000061,G15,チョコレート,3,636
D00000183,T0000062,G08,まぐろ刺身,2,1647
D00000184,T0000063,G02,レタス,2,371
D00000185,T0000064,G07,さば,2,821
D00000186,T0000064,G15,チョコレート,2,466
D00000187,T0000065,G05,牛肉（国産）,1,901
D00000188,T0000065,G01,トマト,3,848
D00000189,T0000065,G11,からあげ弁当,2,1085
D00000190,T0000065,G16,しょうゆ,2,666
D00000191,T0000065,G10,食パン,2,477
D00000192,T0000066,G07,さば,3,1324
D00000193,T0000066,G01,トマト,2,563
D00000194,T0000066,G04,バナナ,3,676
D00000195,T0000066,G03,りんご,1,339
D00000196,T0000067,G06,鶏むね肉,3,1375
D00000197,T0000067,G13,コーヒー豆,3,2663
D00000198,T0000067,G04,バナナ,3,633
D00000199,T0000067,G02,レタス,3,586
D00000200,T0000068,G16,しょうゆ,2,728
D00000201,T0000068,G10,食パン,3,710
D00000202,T0000068,G12,緑茶ペットボトル,1,125
D00000203,T0000068,G10,食パン,1,221
D00000204,T0000069,G03,りんご,1,316
D00000205,T0000069,G14,ポテトチップス,1,180
D00000206,T0000070,G12,緑茶ペットボトル,3,385
D00000207,T0000070,G03,りんご,3,862
D00000208,T0000070,G10,食パン,2,493
D00000209,T0000070,G05,牛肉（国産）,3,2785
D00000210,T0000070,G02,レタス,1,172
D00000211,T0000071,G12,緑茶ペットボトル,3,408
D00000212,T0000072,G07,さば,2,803
D00000213,T0000072,G01,トマト,2,538
D00000214,T0000073,G16,しょうゆ,3,1074
D00000215,T0000073,G01,トマト,1,263
D00000216,T0000073,G12,緑茶ペットボトル,2,297
D00000217,T0000074,G03,りんご,3,916
D00000218,T0000074,G15,チョコレート,3,608
D00000219,T0000074,G08,まぐろ刺身,2,1637
D00000220,T0000074,G01,トマト,3,750
D00000221,T0000075,G10,食パン,1,209
D00000222,T0000075,G02,レタス,1,203
D00000223,T0000075,G06,鶏むね肉,2,995
D00000224,T0000076,G04,バナナ,2,400
D00000225,T0000076,G04,バナナ,1,226
D00000226,T0000076,G15,チョコレート,3,683
D00000227,T0000076,G08,まぐろ刺身,1,825
D00000228,T0000076,G10,食パン,2,454
D00000229,T0000077,G04,バナナ,3,588
D00000230,T0000077,G02,レタス,1,187
D00000231,T0000077,G15,チョコレート,2,452
D00000232,T0000078,G15,チョコレート,2,408
D00000233,T0000079,G02,レタス,3,581
D00000234,T0000079,G01,トマト,3,774
D00000235,T0000079,G14,ポテトチップス,2,344
D00000236,T0000079,G01,トマト,1,273
D00000237,T0000080,G13,コーヒー豆,3,2268
D00000238,T0000080,G01,トマト,2,477
D00000239,T0000081,G16,しょうゆ,1,335
D00000240,T0000081,G06,鶏むね肉,1,502
D00000241,T0000081,G04,バナナ,2,388
D00000242,T0000082,G06,鶏むね肉,3,1469
D00000243,T0000082,G02,レタス,2,357
D00000244,T0000082,G09,こしひかり5kg,1,2669
D00000245,T0000082,G03,りんご,2,575
D00000246,T0000083,G04,バナナ,3,635
D00000247,T0000083,G04,バナナ,2,427
D00000248,T0000084,G08,まぐろ刺身,2,1799
D00000249,T0000084,G06,鶏むね肉,2,933
D00000250,T0000084,G03,りんご,1,333
D00000251,T0000084,G04,バナナ,3,645
D00000252,T0000084,G10,食パン,2,448
D00000253,T0000085,G07,さば,2,841
D00000254,T0000086,G04,バナナ,2,389
D00000255,T0000086,G05,牛肉（国産）,1,1011
D00000256,T0000086,G16,しょうゆ,1,366
D00000257,T0000087,G08,まぐろ刺身,2,1788
D00000258,T0000088,G03,りんご,3,881
D00000259,T0000088,G06,鶏むね肉,1,477
D00000260,T0000088,G01,トマト,3,760
D00000261,T0000088,G11,からあげ弁当,3,1691
D00000262,T0000088,G04,バナナ,1,196
D00000263,T0000089,G13,コーヒー豆,3,2292
D00000264,T0000089,G06,鶏むね肉,3,1530
D00000265,T0000089,G04,バナナ,3,626
D00000266,T0000089,G12,緑茶ペットボトル,2,270
D00000267,T0000090,G03,りんご,1,314
D00000268,T0000090,G13,コーヒー豆,1,868
D00000269,T0000090,G01,トマト,2,529
D00000270,T0000090,G14,ポテトチップス,3,493
D00000271,T0000091,G01,トマト,3,731
D00000272,T0000091,G02,レタス,1,200
D00000273,T0000092,G12,緑茶ペットボトル,2,292
D00000274,T0000092,G10,食パン,2,457
D00000275,T0000092,G10,食パン,1,220
D00000276,T0000092,G10,食パン,2,476
D00000277,T0000092,G16,しょうゆ,3,923
D00000278,T0000093,G01,トマト,2,481
D00000279,T0000093,G01,トマト,3,856
D00000280,T0000094,G03,りんご,3,941
D00000281,T0000094,G11,からあげ弁当,1,555
D00000282,T0000094,G05,牛肉（国産）,3,3028
D00000283,T0000094,G01,トマト,1,241
D00000284,T0000095,G13,コーヒー豆,2,1542
D00000285,T0000095,G03,りんご,3,1007
D00000286,T0000096,G01,トマト,3,861
D00000287,T0000096,G12,緑茶ペットボトル,1,132
D00000288,T0000096,G11,からあげ弁当,1,629
D00000289,T0000096,G04,バナナ,2,415
D00000290,T0000096,G06,鶏むね肉,2,859
D00000291,T0000097,G08,まぐろ刺身,2,1598
D00000292,T0000098,G05,牛肉（国産）,1,926
D00000293,T0000098,G12,緑茶ペットボトル,1,145
D00000294,T0000098,G06,鶏むね肉,1,484
D00000295,T0000099,G08,まぐろ刺身,2,1604
D00000296,T0000099,G12,緑茶ペットボトル,3,411
D00000297,T0000099,G15,チョコレート,2,479
D00000298,T0000099,G08,まぐろ刺身,3,2752
D00000299,T0000099,G01,トマト,1,244
D00000300,T0000100,G11,からあげ弁当,1,615
D00000301,T0000100,G12,緑茶ペットボトル,2,269
D00000302,T0000100,G09,こしひかり5kg,2,5772
D00000303,T0000100,G04,バナナ,3,684
D00000304,T0000100,G02,レタス,2,399
D00000305,T0000101,G09,こしひかり5kg,1,2683
D00000306,T0000101,G05,牛肉（国産）,1,986
D00000307,T0000102,G01,トマト,1,257
D00000308,T0000102,G02,レタス,3,617
D00000309,T0000102,G15,チョコレート,3,645
D00000310,T0000103,G12,緑茶ペットボトル,2,288
D00000311,T0000103,G16,しょうゆ,1,344
D00000312,T0000104,G14,ポテトチップス,3,478
D00000313,T0000104,G10,食パン,1,216
D00000314,T0000105,G14,ポテトチップス,3,533
D00000315,T0000105,G04,バナナ,3,610
D00000316,T0000106,G01,トマト,2,532
D00000317,T0000106,G15,チョコレート,3,689
D00000318,T0000106,G06,鶏むね肉,3,1315
D00000319,T0000106,G03,りんご,1,315
D00000320,T0000107,G06,鶏むね肉,3,1411
D00000321,T0000107,G15,チョコレート,2,436
D00000322,T0000107,G03,りんご,2,576
D00000323,T0000107,G10,食パン,3,730
D00000324,T0000108,G03,りんご,3,880
D00000325,T0000108,G04,バナナ,1,212
D00000326,T0000108,G16,しょうゆ,3,1014
D00000327,T0000109,G06,鶏むね肉,2,928
D00000328,T0000109,G06,鶏むね肉,2,969
D00000329,T0000110,G13,コーヒー豆,1,893
D00000330,T0000111,G15,チョコレート,1,209
D00000331,T0000111,G11,からあげ弁当,1,598
D00000332,T0000111,G08,まぐろ刺身,1,810
D00000333,T0000112,G07,さば,3,1346
D00000334,T0000112,G01,トマト,2,537
D00000335,T0000112,G01,トマト,2,488
D00000336,T0000113,G15,チョコレート,2,480
D00000337,T0000113,G02,レタス,1,201
D00000338,T0000113,G12,緑茶ペットボトル,2,286
D00000339,T0000113,G14,ポテトチップス,1,152
D00000340,T0000113,G01,トマト,3,829
D00000341,T0000114,G01,トマト,3,749
D00000342,T0000114,G14,ポテトチップス,2,319
D00000343,T0000115,G02,レタス,2,400
D00000344,T0000115,G09,こしひかり5kg,2,5792
D00000345,T0000115,G15,チョコレート,1,205
D00000346,T0000116,G01,トマト,2,542
D00000347,T0000116,G13,コーヒー豆,2,1768
D00000348,T0000117,G04,バナナ,3,651
D00000349,T0000117,G06,鶏むね肉,1,512
D00000350,T0000118,G06,鶏むね肉,3,1356
D00000351,T0000118,G03,りんご,2,646
D00000352,T0000118,G13,コーヒー豆,2,1539
D00000353,T0000118,G11,からあげ弁当,3,1591
D00000354,T0000119,G11,からあげ弁当,1,544
D00000355,T0000120,G12,緑茶ペットボトル,1,127
D00000356,T0000121,G12,緑茶ペットボトル,1,144
D00000357,T0000121,G07,さば,1,402
D00000358,T0000122,G16,しょうゆ,1,320
D00000359,T0000123,G03,りんご,3,1008
D00000360,T0000123,G13,コーヒー豆,2,1551
D00000361,T0000123,G03,りんご,1,339
D00000362,T0000124,G12,緑茶ペットボトル,3,441
D00000363,T0000124,G03,りんご,1,337
D00000364,T0000124,G12,緑茶ペットボトル,2,270
D00000365,T0000125,G13,コーヒー豆,1,757
D00000366,T0000125,G13,コーヒー豆,2,1554
D00000367,T0000125,G07,さば,2,786
D00000368,T0000125,G14,ポテトチップス,3,534
D00000369,T0000126,G03,りんご,3,948
D00000370,T0000126,G12,緑茶ペットボトル,3,434
D00000371,T0000126,G14,ポテトチップス,2,336
D00000372,T0000126,G03,りんご,1,341
D00000373,T0000127,G11,からあげ弁当,1,615
D00000374,T0000127,G03,りんご,3,1004
D00000375,T0000127,G10,食パン,1,244
D00000376,T0000127,G10,食パン,1,247
D00000377,T0000127,G08,まぐろ刺身,3,2461
D00000378,T0000128,G10,食パン,3,695
D00000379,T0000128,G06,鶏むね肉,3,1461
D00000380,T0000128,G06,鶏むね肉,2,932
D00000381,T0000128,G07,さば,3,1174
D00000382,T0000129,G05,牛肉（国産）,3,2612
D00000383,T0000129,G16,しょうゆ,1,357
D00000384,T0000129,G04,バナナ,2,418
D00000385,T0000129,G14,ポテトチップス,3,523
D00000386,T0000129,G11,からあげ弁当,3,1856
D00000387,T0000130,G07,さば,1,383
D00000388,T0000130,G01,トマト,2,533
D00000389,T0000130,G04,バナナ,3,663
D00000390,T0000130,G04,バナナ,3,639
D00000391,T0000130,G04,バナナ,1,214
D00000392,T0000131,G12,緑茶ペットボトル,2,281
D00000393,T0000131,G15,チョコレート,1,231
D00000394,T0000131,G05,牛肉（国産）,2,1843
D00000395,T0000131,G15,チョコレート,2,453
D00000396,T0000131,G07,さば,2,810
D00000397,T0000132,G10,食パン,2,469
D00000398,T0000132,G15,チョコレート,1,201
D00000399,T0000132,G12,緑茶ペットボトル,2,276
D00000400,T0000132,G11,からあげ弁当,3,1808
D00000401,T0000132,G12,緑茶ペットボトル,1,139
D00000402,T0000133,G11,からあげ弁当,2,1260
D00000403,T0000133,G10,食パン,3,667
D00000404,T0000134,G01,トマト,3,730
D00000405,T0000134,G09,こしひかり5kg,1,2843
D00000406,T0000134,G10,食パン,1,227
D00000407,T0000135,G02,レタス,2,397
D00000408,T0000136,G06,鶏むね肉,1,504
D00000409,T0000136,G10,食パン,2,478
D00000410,T0000137,G10,食パン,1,234
D00000411,T0000138,G04,バナナ,1,204
D00000412,T0000138,G04,バナナ,1,190
D00000413,T0000138,G02,レタス,2,344
D00000414,T0000138,G06,鶏むね肉,1,436
D00000415,T0000138,G09,こしひかり5kg,1,2604
D00000416,T0000139,G14,ポテトチップス,3,472
D00000417,T0000139,G04,バナナ,1,219
D00000418,T0000139,G03,りんご,3,905
D00000419,T0000139,G06,鶏むね肉,1,438
D00000420,T0000139,G02,レタス,2,359
D00000421,T0000140,G12,緑茶ペットボトル,3,446
D00000422,T0000140,G10,食パン,3,738
D00000423,T0000140,G09,こしひかり5kg,1,2681
D00000424,T0000141,G04,バナナ,1,223
D00000425,T0000141,G09,こしひかり5kg,1,2479
D00000426,T0000142,G05,牛肉（国産）,1,971
D00000427,T0000143,G02,レタス,2,393
D00000428,T0000143,G01,トマト,2,508
D00000429,T0000143,G09,こしひかり5kg,1,2522
D00000430,T0000143,G06,鶏むね肉,2,935
D00000431,T0000143,G07,さば,3,1316
D00000432,T0000144,G09,こしひかり5kg,2,5451
D00000433,T0000144,G03,りんご,2,580
D00000434,T0000144,G14,ポテトチップス,3,487
D00000435,T0000145,G09,こしひかり5kg,1,2672
D00000436,T0000145,G10,食パン,3,633
D00000437,T0000145,G02,レタス,1,177
D00000438,T0000145,G01,トマト,3,735
D00000439,T0000146,G02,レタス,3,620
D00000440,T0000146,G07,さば,2,801
D00000441,T0000146,G10,食パン,3,722
D00000442,T0000146,G08,まぐろ刺身,2,1675
D00000443,T0000147,G15,チョコレート,3,697
D00000444,T0000147,G06,鶏むね肉,1,479
D00000445,T0000147,G01,トマト,2,534
D00000446,T0000147,G15,チョコレート,2,409
D00000447,T0000148,G01,トマト,3,734
D00000448,T0000148,G14,ポテトチップス,2,323
D00000449,T0000149,G14,ポテトチップス,1,180
D00000450,T0000150,G15,チョコレート,2,422
D00000451,T0000150,G04,バナナ,2,456
D00000452,T0000150,G04,バナナ,1,210
D00000453,T0000150,G06,鶏むね肉,1,511
D00000454,T0000151,G02,レタス,1,172
D00000455,T0000151,G12,緑茶ペットボトル,1,131
D00000456,T0000151,G14,ポテトチップス,3,508
D00000457,T0000151,G13,コーヒー豆,1,862
D00000458,T0000152,G04,バナナ,3,649
D00000459,T0000152,G09,こしひかり5kg,1,2521
D00000460,T0000152,G06,鶏むね肉,1,463
D00000461,T0000153,G10,食パン,2,463
D00000462,T0000153,G10,食パン,3,658
D00000463,T0000153,G10,食パン,2,475
D00000464,T0000154,G10,食パン,2,470
D00000465,T0000154,G06,鶏むね肉,1,506
D00000466,T0000155,G16,しょうゆ,1,337
D00000467,T0000155,G09,こしひかり5kg,1,2580
D00000468,T0000155,G14,ポテトチップス,1,161
D00000469,T0000155,G08,まぐろ刺身,1,873
D00000470,T0000156,G04,バナナ,3,658
D00000471,T0000157,G01,トマト,3,846
D00000472,T0000157,G02,レタス,1,191
D00000473,T0000157,G05,牛肉（国産）,3,2624
D00000474,T0000158,G03,りんご,1,293
D00000475,T0000158,G09,こしひかり5kg,3,8537
D00000476,T0000158,G11,からあげ弁当,1,526
D00000477,T0000158,G11,からあげ弁当,3,1622
D00000478,T0000159,G04,バナナ,1,201
D00000479,T0000159,G01,トマト,1,261
D00000480,T0000159,G06,鶏むね肉,3,1352
D00000481,T0000160,G11,からあげ弁当,1,591
D00000482,T0000160,G06,鶏むね肉,1,457
D00000483,T0000160,G11,からあげ弁当,1,552
D00000484,T0000160,G09,こしひかり5kg,1,2772
D00000485,T0000161,G04,バナナ,3,659
D00000486,T0000161,G07,さば,1,403
D00000487,T0000162,G11,からあげ弁当,3,1660
D00000488,T0000162,G14,ポテトチップス,2,356
D00000489,T0000162,G16,しょうゆ,1,360
D00000490,T0000163,G02,レタス,1,191
D00000491,T0000164,G10,食パン,2,485
D00000492,T0000164,G01,トマト,3,718
D00000493,T0000165,G03,りんご,3,875
D00000494,T0000165,G02,レタス,2,356
D00000495,T0000165,G10,食パン,3,749
D00000496,T0000165,G04,バナナ,3,640
D00000497,T0000165,G13,コーヒー豆,2,1609
D00000498,T0000166,G10,食パン,1,240
D00000499,T0000166,G15,チョコレート,2,471
D00000500,T0000166,G14,ポテトチップス,1,167
D00000501,T0000166,G16,しょうゆ,1,351
D00000502,T0000166,G10,食パン,1,225
D00000503,T0000167,G14,ポテトチップス,3,467
D00000504,T0000167,G11,からあげ弁当,2,1130
D00000505,T0000167,G06,鶏むね肉,1,516
D00000506,T0000167,G01,トマト,2,555
D00000507,T0000167,G10,食パン,3,654
D00000508,T0000168,G01,トマト,1,262
D00000509,T0000168,G11,からあげ弁当,3,1577
D00000510,T0000168,G08,まぐろ刺身,3,2333
D00000511,T0000168,G06,鶏むね肉,2,856
D00000512,T0000168,G04,バナナ,3,574
D00000513,T0000169,G14,ポテトチップス,2,358
D00000514,T0000169,G09,こしひかり5kg,2,5640
D00000515,T0000169,G05,牛肉（国産）,1,1019
D00000516,T0000169,G02,レタス,2,391
D00000517,T0000169,G02,レタス,3,546
D00000518,T0000170,G03,りんご,2,680
D00000519,T0000170,G14,ポテトチップス,2,323
D00000520,T0000170,G16,しょうゆ,3,919
D00000521,T0000170,G10,食パン,2,471
D00000522,T0000170,G02,レタス,1,174
D00000523,T0000171,G08,まぐろ刺身,3,2331
D00000524,T0000171,G10,食パン,3,670
D00000525,T0000171,G16,しょうゆ,2,648
D00000526,T0000171,G10,食パン,1,240
D00000527,T0000172,G11,からあげ弁当,1,566
D00000528,T0000173,G04,バナナ,1,200
D00000529,T0000173,G01,トマト,2,527
D00000530,T0000174,G07,さば,3,1180
D00000531,T0000174,G14,ポテトチップス,3,509
D00000532,T0000174,G06,鶏むね肉,3,1367
D00000533,T0000174,G02,レタス,2,375
D00000534,T0000175,G01,トマト,1,237
D00000535,T0000175,G01,トマト,1,240
D00000536,T0000175,G02,レタス,2,411
D00000537,T0000175,G07,さば,3,1227
D00000538,T0000175,G16,しょうゆ,2,653
D00000539,T0000176,G12,緑茶ペットボトル,3,401
D00000540,T0000176,G05,牛肉（国産）,2,1710
D00000541,T0000176,G02,レタス,3,571
D00000542,T0000176,G15,チョコレート,3,601
D00000543,T0000176,G06,鶏むね肉,1,440
D00000544,T0000177,G01,トマト,3,716
D00000545,T0000177,G03,りんご,2,584
D00000546,T0000178,G15,チョコレート,3,608
D00000547,T0000178,G01,トマト,1,263
D00000548,T0000178,G04,バナナ,1,219
D00000549,T0000178,G12,緑茶ペットボトル,2,249
D00000550,T0000179,G15,チョコレート,3,676
D00000551,T0000179,G03,りんご,3,906
D00000552,T0000179,G03,りんご,1,303
D00000553,T0000179,G04,バナナ,3,621
D00000554,T0000180,G09,こしひかり5kg,2,5092
D00000555,T0000180,G07,さば,3,1195
D00000556,T0000180,G12,緑茶ペットボトル,3,370
D00000557,T0000181,G10,食パン,3,717
D00000558,T0000181,G08,まぐろ刺身,2,1809
D00000559,T0000182,G08,まぐろ刺身,3,2579
D00000560,T0000182,G06,鶏むね肉,3,1415
D00000561,T0000182,G07,さば,2,802
D00000562,T0000182,G08,まぐろ刺身,1,796
D00000563,T0000183,G15,チョコレート,1,215
D00000564,T0000183,G11,からあげ弁当,3,1696
D00000565,T0000183,G07,さば,2,908
D00000566,T0000183,G06,鶏むね肉,1,440
D00000567,T0000183,G09,こしひかり5kg,2,5034
D00000568,T0000184,G11,からあげ弁当,3,1844
D00000569,T0000185,G12,緑茶ペットボトル,3,410
D00000570,T0000185,G04,バナナ,2,440
D00000571,T0000185,G15,チョコレート,2,455
D00000572,T0000186,G14,ポテトチップス,1,165
D00000573,T0000186,G04,バナナ,3,664
D00000574,T0000187,G14,ポテトチップス,2,343
D00000575,T0000188,G01,トマト,2,559
D00000576,T0000188,G08,まぐろ刺身,2,1557
D00000577,T0000188,G09,こしひかり5kg,3,8626
D00000578,T0000188,G12,緑茶ペットボトル,2,254
D00000579,T0000188,G07,さば,2,795
D00000580,T0000189,G05,牛肉（国産）,3,2571
D00000581,T0000189,G04,バナナ,2,443
D00000582,T0000189,G03,りんご,1,344
D00000583,T0000190,G01,トマト,1,243
D00000584,T0000190,G01,トマト,1,262
D00000585,T0000190,G06,鶏むね肉,3,1390
D00000586,T0000190,G11,からあげ弁当,3,1827
D00000587,T0000191,G14,ポテトチップス,3,497
D00000588,T0000192,G15,チョコレート,3,612
D00000589,T0000192,G06,鶏むね肉,2,995
D00000590,T0000192,G16,しょうゆ,3,1011
