取引ID,会員ID,利用日時,店舗ID,店舗名,担当者ID
T0000229,M000046,2026-01-01 11:36:50,S06,PPCマート浦和店,E021
T0000230,M000046,2026-04-08 18:13:31,S02,PPCマート杉並店,E023
T0000231,M000046,2026-05-03 10:13:40,S08,PPCマート霞が関店,E039
T0000232,M000046,2025-11-23 15:25:28,S05,PPCマート宮前店,E012
T0000233,M000046,2025-11-05 19:48:02,S06,PPCマート浦和店,E015
T0000234,M000046,2025-11-26 14:17:29,S07,PPCマート船橋店,E007
T0000235,M000047,2025-08-08 16:12:23,S08,PPCマート霞が関店,E040
T0000236,M000047,2025-12-22 09:20:23,S03,PPCマート大田店,E019
T0000237,M000047,2026-03-12 19:10:32,S02,PPCマート杉並店,E039
T0000238,M000047,2026-02-12 19:25:53,S02,PPCマート杉並店,E006
T0000239,M000047,2025-07-09 15:33:39,S01,PPCマート世田谷店,E037
T0000240,M000047,2025-08-28 13:56:32,S05,PPCマート宮前店,E022
T0000241,M000047,2025-08-29 15:02:22,S04,PPCマート青葉店,E030
T0000242,M000047,2026-01-07 13:56:27,S03,PPCマート大田店,E033
T0000243,M000048,2026-06-21 19:29:29,S06,PPCマート浦和店,E022
T0000244,M000048,2025-09-12 19:41:22,S03,PPCマート大田店,E012
T0000245,M000048,2026-05-17 20:41:00,S01,PPCマート世田谷店,E001
T0000246,M000048,2026-02-06 13:08:30,S01,PPCマート世田谷店,E015
T0000247,M000048,2025-12-09 16:55:28,S01,PPCマート世田谷店,E022
T0000248,M000048,2025-07-27 11:25:45,S05,PPCマート宮前店,E027
T0000249,M000048,2026-03-26 14:54:56,S03,PPCマート大田店,E009
T0000250,M000049,2026-06-07 19:55:51,S02,PPCマート杉並店,E040
T0000251,M000049,2026-05-29 09:45:40,S05,PPCマート宮前店,E017
T0000252,M000049,2026-01-19 17:18:36,S02,PPCマート杉並店,E037
T0000253,M000049,2025-10-12 15:17:12,S02,PPCマート杉並店,E021
T0000254,M000049,2025-07-20 19:03:22,S01,PPCマート世田谷店,E020
T0000255,M000050,2025-11-13 14:58:42,S06,PPCマート浦和店,E019
T0000256,M000050,2025-08-19 11:21:10,S02,PPCマート杉並店,E024
T0000257,M000050,2025-11-15 14:17:55,S06,PPCマート浦和店,E023
T0000258,M000050,2026-02-14 14:17:52,S03,PPCマート大田店,E008
T0000259,M000050,2026-02-22 16:02:49,S02,PPCマート杉並店,E014
T0000260,M000050,2025-10-13 20:13:10,S01,PPCマート世田谷店,E035
T0000261,M000051,2026-03-04 14:29:41,S02,PPCマート杉並店,E021
T0000262,M000051,2025-07-05 17:38:35,S05,PPCマート宮前店,E027
T0000263,M000051,2026-03-06 19:21:48,S04,PPCマート青葉店,E035
T0000264,M000051,2025-07-21 11:48:17,S02,PPCマート杉並店,E019
T0000265,M000051,2025-11-12 12:22:00,S06,PPCマート浦和店,E008
T0000266,M000051,2026-02-27 18:26:15,S06,PPCマート浦和店,E004
T0000267,M000051,2026-04-25 16:31:16,S01,PPCマート世田谷店,E033
T0000268,M000052,2025-12-01 20:08:32,S06,PPCマート浦和店,E038
T0000269,M000052,2025-10-05 19:56:45,S02,PPCマート杉並店,E004
T0000270,M000052,2026-02-23 11:46:54,S05,PPCマート宮前店,E013
T0000271,M000053,2025-09-27 19:30:35,S04,PPCマート青葉店,E034
T0000272,M000053,2025-08-18 11:03:13,S05,PPCマート宮前店,E013
T0000273,M000053,2026-05-01 11:20:17,S06,PPCマート浦和店,E010
T0000274,M000053,2025-09-04 20:44:31,S05,PPCマート宮前店,E005
T0000275,M000053,2026-03-29 15:18:45,S01,PPCマート世田谷店,E022
T0000276,M000053,2026-01-17 12:01:22,S06,PPCマート浦和店,E006
T0000277,M000053,2026-04-24 11:24:12,S02,PPCマート杉並店,E013
T0000278,M000054,2025-12-11 17:15:00,S07,PPCマート船橋店,E032
T0000279,M000054,2025-08-10 20:41:32,S03,PPCマート大田店,E025
T0000280,M000054,2025-07-04 12:02:20,S08,PPCマート霞が関店,E039
T0000281,M000054,2026-04-14 10:58:14,S04,PPCマート青葉店,E001
T0000282,M000054,2025-07-27 13:51:45,S07,PPCマート船橋店,E014
T0000283,M000054,2026-03-30 16:54:52,S01,PPCマート世田谷店,E027
T0000284,M000055,2025-08-20 20:00:28,S01,PPCマート世田谷店,E018
T0000285,M000055,2025-11-13 18:44:38,S01,PPCマート世田谷店,E035
T0000286,M000055,2026-04-27 20:49:10,S01,PPCマート世田谷店,E029
T0000287,M000056,2026-01-14 15:43:55,S06,PPCマート浦和店,E017
T0000288,M000056,2025-08-17 16:58:09,S07,PPCマート船橋店,E012
T0000289,M000056,2026-05-24 12:03:11,S03,PPCマート大田店,E018
T0000290,M000056,2025-09-10 15:49:40,S01,PPCマート世田谷店,E022
T0000291,M000056,2025-10-06 09:19:15,S05,PPCマート宮前店,E035
T0000292,M000056,2026-06-28 12:50:50,S03,PPCマート大田店,E015
T0000293,M000057,2025-09-15 13:49:32,S07,PPCマート船橋店,E033
T0000294,M000057,2026-02-04 10:27:09,S02,PPCマート杉並店,E021
T0000295,M000057,2025-07-21 12:17:02,S06,PPCマート浦和店,E011
T0000296,M000057,2026-05-08 11:36:42,S02,PPCマート杉並店,E028
T0000297,M000058,2025-11-20 16:28:22,S02,PPCマート杉並店,E009
T0000298,M000058,2026-04-09 10:35:54,S03,PPCマート大田店,E007
T0000299,M000059,2026-02-10 09:02:31,S01,PPCマート世田谷店,E014
T0000300,M000059,2026-03-05 11:50:19,S05,PPCマート宮前店,E032
T0000301,M000059,2025-10-12 10:37:06,S03,PPCマート大田店,E004
T0000302,M000059,2025-08-04 14:06:08,S03,PPCマート大田店,E024
T0000303,M000059,2025-12-21 10:47:08,S07,PPCマート船橋店,E004
T0000304,M000060,2025-07-10 15:28:53,S07,PPCマート船橋店,E031
T0000305,M000060,2025-09-21 19:09:27,S01,PPCマート世田谷店,E010
T0000306,M000060,2025-08-17 11:52:15,S05,PPCマート宮前店,E037
T0000307,M000060,2025-09-06 10:27:29,S02,PPCマート杉並店,E029
T0000308,M000061,2025-10-08 11:37:08,S04,PPCマート青葉店,E040
T0000309,M000061,2026-06-24 13:35:43,S08,PPCマート霞が関店,E021
T0000310,M000061,2026-02-13 15:04:14,S05,PPCマート宮前店,E017
T0000311,M000061,2026-02-27 12:57:30,S05,PPCマート宮前店,E017
T0000312,M000061,2025-07-12 10:12:24,S04,PPCマート青葉店,E029
T0000313,M000061,2025-08-25 20:32:25,S03,PPCマート大田店,E024
T0000314,M000061,2026-04-30 09:02:51,S06,PPCマート浦和店,E003
T0000315,M000062,2025-12-28 14:41:25,S02,PPCマート杉並店,E011
T0000316,M000062,2026-06-21 11:01:08,S07,PPCマート船橋店,E014
T0000317,M000063,2025-09-08 20:33:25,S03,PPCマート大田店,E040
T0000318,M000063,2025-11-29 10:15:30,S08,PPCマート霞が関店,E040
T0000319,M000063,2025-07-18 20:41:28,S02,PPCマート杉並店,E020
T0000320,M000064,2025-07-12 13:13:03,S04,PPCマート青葉店,E003
T0000321,M000064,2026-05-31 13:59:58,S03,PPCマート大田店,E027
T0000322,M000064,2026-01-13 17:38:40,S05,PPCマート宮前店,E024
T0000323,M000064,2025-09-29 13:41:45,S04,PPCマート青葉店,E016
T0000324,M000064,2026-01-01 20:21:14,S02,PPCマート杉並店,E027
T0000325,M000064,2025-09-09 10:15:28,S03,PPCマート大田店,E039
T0000326,M000064,2025-08-11 15:54:44,S06,PPCマート浦和店,E018
T0000327,M000064,2025-10-12 11:48:01,S04,PPCマート青葉店,E009
T0000328,M000065,2025-10-25 11:04:08,S04,PPCマート青葉店,E012
T0000329,M000065,2026-06-17 20:57:06,S04,PPCマート青葉店,E035
T0000330,M000066,2025-07-15 12:37:54,S07,PPCマート船橋店,E010
T0000331,M000066,2026-04-23 10:25:04,S01,PPCマート世田谷店,E031
T0000332,M000066,2025-09-01 16:27:25,S06,PPCマート浦和店,E016
T0000333,M000066,2026-05-05 20:26:50,S01,PPCマート世田谷店,E025
T0000334,M000066,2026-02-22 18:43:28,S01,PPCマート世田谷店,E037
T0000335,M000066,2026-05-20 16:52:50,S01,PPCマート世田谷店,E013
T0000336,M000067,2026-03-15 11:48:15,S03,PPCマート大田店,E017
T0000337,M000067,2025-10-20 19:17:46,S04,PPCマート青葉店,E027
T0000338,M000067,2026-01-26 15:09:26,S02,PPCマート杉並店,E004
T0000339,M000067,2025-10-09 17:19:24,S02,PPCマート杉並店,E031
T0000340,M000067,2026-05-10 17:16:57,S01,PPCマート世田谷店,E011
T0000341,M000067,2026-05-13 09:56:56,S08,PPCマート霞が関店,E039
T0000342,M000067,2026-03-12 19:48:35,S02,PPCマート杉並店,E024
T0000343,M000068,2025-10-22 18:25:10,S02,PPCマート杉並店,E019
T0000344,M000068,2025-09-22 17:01:59,S02,PPCマート杉並店,E026
T0000345,M000068,2025-12-30 15:37:26,S02,PPCマート杉並店,E029
T0000346,M000069,2025-07-15 10:47:29,S06,PPCマート浦和店,E037
T0000347,M000069,2026-05-10 18:41:50,S01,PPCマート世田谷店,E025
T0000348,M000069,2025-08-14 18:25:33,S02,PPCマート杉並店,E003
T0000349,M000070,2025-07-14 16:45:32,S05,PPCマート宮前店,E030
T0000350,M000070,2025-11-07 20:59:55,S04,PPCマート青葉店,E031
T0000351,M000070,2026-03-26 10:21:07,S06,PPCマート浦和店,E040
T0000352,M000071,2026-06-21 09:35:50,S06,PPCマート浦和店,E013
T0000353,M000071,2025-07-01 14:58:46,S04,PPCマート青葉店,E028
T0000354,M000071,2025-08-04 14:28:03,S05,PPCマート宮前店,E017
T0000355,M000071,2026-04-25 17:12:26,S03,PPCマート大田店,E030
T0000356,M000071,2025-08-17 18:38:03,S04,PPCマート青葉店,E015
T0000357,M000071,2026-01-30 09:04:40,S08,PPCマート霞が関店,E039
T0000358,M000072,2026-01-30 19:35:34,S08,PPCマート霞が関店,E012
T0000359,M000072,2025-10-17 09:06:21,S04,PPCマート青葉店,E005
T0000360,M000072,2025-07-13 10:20:41,S04,PPCマート青葉店,E017
T0000361,M000072,2026-04-21 17:44:00,S02,PPCマート杉並店,E019
T0000362,M000072,2025-11-17 10:37:03,S07,PPCマート船橋店,E022
T0000363,M000072,2025-12-15 18:18:41,S07,PPCマート船橋店,E020
T0000364,M000072,2026-05-24 10:19:19,S02,PPCマート杉並店,E037
T0000365,M000073,2025-08-26 12:18:09,S07,PPCマート船橋店,E011
T0000366,M000073,2025-08-07 13:30:44,S02,PPCマート杉並店,E009
